Name,Symbol,Market Cap,Date,Rank
WAVESWaves,WAVES,"$767,889,308.93",2018-01-31,39
REPAugur,REP,"$751,766,479.49",2018-01-31,40
KCSKuCoin Shares,KCS,"$730,418,954.67",2018-01-31,41
RHOCRChain,RHOC,"$696,966,487.29",2018-01-31,42
AEAeternity,AE,"$686,534,057.04",2018-01-31,43
DOGEDogecoin,DOGE,"$679,199,484.29",2018-01-31,44
DCRDecred,DCR,"$652,283,540.06",2018-01-31,45
KMDKomodo,KMD,"$614,105,516.17",2018-01-31,46
HCHyperCash,HC,"$599,682,471.42",2018-01-31,47
ARKArk,ARK,"$557,011,446.44",2018-01-31,48
GASGas,GAS,"$552,300,890.22",2018-01-31,49
KNCKyber Network,KNC,"$550,817,219.09",2018-01-31,50
DRGNDragonchain,DRGN,"$532,025,747.79",2018-01-31,51
LRCLoopring,LRC,"$519,842,809.42",2018-01-31,52
DGBDigiByte,DGB,"$519,556,259.06",2018-01-31,53
ZILZilliqa,ZIL,"$517,975,399.43",2018-01-31,54
BATBasic Attention Token,BAT,"$517,064,690.59",2018-01-31,55
ETNElectroneum,ETN,"$507,005,031.29",2018-01-31,56
ELFaelf,ELF,"$481,503,546.24",2018-01-31,57
DGDDigixDAO,DGD,"$469,995,727.54",2018-01-31,58
PIVXPIVX,PIVX,"$455,206,070.90",2018-01-31,59
QASHQASH,QASH,"$419,662,225.25",2018-01-31,60
NASNebulas,NAS,"$399,780,689.72",2018-01-31,61
DCNDentacoin,DCN,"$391,251,465.52",2018-01-31,62
GNTGolem,GNT,"$389,273,760.72",2018-01-31,63
GBYTEObyte,GBYTE,"$387,598,442.22",2018-01-31,64
IOSTIOST,IOST,"$379,087,201.91",2018-01-31,65
BTMBytom,BTM,"$378,554,190.34",2018-01-31,66
FUNFunFair,FUN,"$376,426,499.01",2018-01-31,67
ZCLZClassic,ZCL,"$375,106,051.83",2018-01-31,68
IGNISIgnis,IGNIS,"$366,060,340.18",2018-01-31,69
RRevain,R,"$360,461,430.44",2018-01-31,70
PLRPillar,PLR,"$354,988,573.94",2018-01-31,71
VGXVoyager Token,VGX,"$341,317,372.04",2018-01-31,72
AIONAion,AION,"$339,602,458.73",2018-01-31,73
FCTFactom,FCT,"$339,129,106.82",2018-01-31,74
CNXCryptonex,CNX,"$338,850,182.29",2018-01-31,75
DENTDent,DENT,"$324,065,193.25",2018-01-31,76
SALTSALT,SALT,"$323,062,845.14",2018-01-31,77
CNDCindicator,CND,"$322,601,890.08",2018-01-31,78
POWRPower Ledger,POWR,"$321,923,081.24",2018-01-31,79
SMARTSmartCash,SMART,"$315,300,677.90",2018-01-31,80
AGISingularityNET,AGI,"$301,334,252.57",2018-01-31,81
GXCGXChain,GXC,"$297,722,053.53",2018-01-31,82
SYSSyscoin,SYS,"$290,514,175.39",2018-01-31,83
XZCZcoin,XZC,"$285,498,051.74",2018-01-31,84
NXTNxt,NXT,"$284,595,383.55",2018-01-31,85
MONAMonaCoin,MONA,"$278,319,856.35",2018-01-31,86
NXSNexus,NXS,"$276,452,696.47",2018-01-31,87
REQRequest,REQ,"$268,224,631.57",2018-01-31,88
MAIDMaidSafeCoin,MAID,"$266,348,873.02",2018-01-31,89
BTXBitcore,BTX,"$254,204,771.32",2018-01-31,90
RDDReddCoin,RDD,"$254,140,792.56",2018-01-31,91
KINKin,KIN,"$253,562,680.62",2018-01-31,92
ENGEnigma,ENG,"$248,895,218.54",2018-01-31,93
PARTParticl,PART,"$244,165,124.85",2018-01-31,94
PAYTenX,PAY,"$242,180,196.33",2018-01-31,95
ICNIconomi,ICN,"$237,739,347.26",2018-01-31,96
WAXPWAX,WAXP,"$234,882,614.21",2018-01-31,97
EMCEmercoin,EMC,"$224,049,798.39",2018-01-31,98
GNOGnosis,GNO,"$223,268,405.58",2018-01-31,99
NEBLNeblio,NEBL,"$219,235,697.33",2018-01-31,100
MEDMediBloc,MED,"$218,559,883.00",2018-01-31,101
LINKChainlink,LINK,"$217,051,070.93",2018-01-31,102
QSPQuantstamp,QSP,"$209,665,701.98",2018-01-31,103
BNTBancor,BNT,"$205,983,099.24",2018-01-31,104
GAMEGameCredits,GAME,"$203,930,704.49",2018-01-31,105
RDNRaiden Network Token,RDN,"$202,744,961.57",2018-01-31,106
SUBSubstratum,SUB,"$198,136,760.77",2018-01-31,107
CVCCivic,CVC,"$195,138,859.65",2018-01-31,108
SRNSIRIN LABS Token,SRN,"$194,101,988.25",2018-01-31,109
PPPPayPie,PPP,"$192,633,392.21",2018-01-31,110
XDNDigitalNote,XDN,"$189,259,438.74",2018-01-31,111
HPBHigh Performance Blockchain,HPB,"$183,591,857.89",2018-01-31,112
POEPo.et,POE,"$183,095,340.15",2018-01-31,113
BLOCKBlocknet,BLOCK,"$179,898,365.11",2018-01-31,114
ANTAragon,ANT,"$175,424,138.28",2018-01-31,115
TNBTime New Bank,TNB,"$172,302,161.25",2018-01-31,116
ITCIoT Chain,ITC,"$171,320,173.69",2018-01-31,117
STORJStorj,STORJ,"$170,031,275.84",2018-01-31,118
BTCDBitcoinDark,BTCD,"$169,652,365.26",2018-01-31,119
UBQUbiq,UBQ,"$169,241,472.78",2018-01-31,120
VTCVertcoin,VTC,"$166,387,784.46",2018-01-31,121
NULSNULS,NULS,"$166,197,299.96",2018-01-31,122
RLCiExec RLC,RLC,"$164,312,752.21",2018-01-31,123
STORMStorm,STORM,"$162,993,975.21",2018-01-31,124
UNITYSuperNET,UNITY,"$162,763,108.10",2018-01-31,125
ASTAirSwap,AST,"$161,232,537.03",2018-01-31,126
BCOBridgeCoin,BCO,"$160,675,641.06",2018-01-31,127
ENJEnjin Coin,ENJ,"$159,457,720.95",2018-01-31,128
SKYSkycoin,SKY,"$159,086,104.86",2018-01-31,129
DEWDEW,DEW,"$158,616,545.54",2018-01-31,130
SPHTXSophiaTX,SPHTX,"$158,586,523.91",2018-01-31,131
BIXBibox Token,BIX,"$157,959,198.15",2018-01-31,132
PACPAC Global,PAC,"$154,626,161.12",2018-01-31,133
ACTAchain,ACT,"$150,178,724.53",2018-01-31,134
INKInk,INK,"$150,082,441.76",2018-01-31,135
ZENHorizen,ZEN,"$148,085,088.60",2018-01-31,136
VEEBLOCKv,VEE,"$146,714,961.56",2018-01-31,137
XPExperience Points,XP,"$144,903,761.95",2018-01-31,138
SANSantiment Network Token,SAN,"$144,435,625.18",2018-01-31,139
LENDAave,LEND,"$139,393,660.69",2018-01-31,140
MCOMCO,MCO,"$138,142,795.71",2018-01-31,141
DTRDynamic Trading Rights,DTR,"$135,570,269.72",2018-01-31,142
NAVNavCoin,NAV,"$134,268,542.77",2018-01-31,143
MANADecentraland,MANA,"$133,936,164.90",2018-01-31,144
SNGLSSingularDTV,SNGLS,"$128,059,744.83",2018-01-31,145
COBCobinhood,COB,"$124,799,602.29",2018-01-31,146
AMBAmbrosus,AMB,"$123,965,829.64",2018-01-31,147
CMTCyberMiles,CMT,"$123,944,478.43",2018-01-31,148
RCNRipio Credit Network,RCN,"$123,102,932.15",2018-01-31,149
THETATHETA,THETA,"$121,977,864.64",2018-01-31,150
PHXRed Pulse Phoenix,PHX,"$119,657,590.93",2018-01-31,151
VIBEVIBE,VIBE,"$118,397,114.60",2018-01-31,152
DBCDeepBrain Chain,DBC,"$117,668,455.84",2018-01-31,153
XASAsch,XAS,"$116,016,849.74",2018-01-31,154
OSTOST,OST,"$115,837,050.83",2018-01-31,155
TNCTrinity Network Credit,TNC,"$115,271,478.78",2018-01-31,156
BAYBitBay,BAY,"$114,077,605.05",2018-01-31,157
XCPCounterparty,XCP,"$112,966,905.66",2018-01-31,158
HTMLHTMLCOIN,HTML,"$112,401,135.08",2018-01-31,159
AGRSAgoras Tokens,AGRS,"$110,277,497.29",2018-01-31,160
PPCPeercoin,PPC,"$109,433,695.40",2018-01-31,161
EMC2Einsteinium,EMC2,"$107,400,832.09",2018-01-31,162
APPCAppCoins,APPC,"$106,253,341.23",2018-01-31,163
SNMSONM,SNM,"$105,592,607.36",2018-01-31,164
TELTelcoin,TEL,"$104,538,745.83",2018-01-31,165
DATAStreamr DATAcoin,DATA,"$103,633,255.05",2018-01-31,166
UKGUnikoin Gold,UKG,"$101,575,678.11",2018-01-31,167
ADXAdEx,ADX,"$100,912,915.43",2018-01-31,168
XNSInsolar,XNS,"$100,812,029.00",2018-01-31,169
XBYXTRABYTES,XBY,"$98,717,150.99",2018-01-31,170
WABITael,WABI,"$97,087,710.51",2018-01-31,171
MDSMediShares,MDS,"$97,005,426.00",2018-01-31,172
INTINT Chain,INT,"$95,594,072.34",2018-01-31,173
ETPMetaverse ETP,ETP,"$95,333,654.83",2018-01-31,174
IONION,ION,"$94,136,269.50",2018-01-31,175
MLNMelon,MLN,"$93,303,566.54",2018-01-31,176
MODModum,MOD,"$90,086,070.58",2018-01-31,177
EDGEdgeless,EDG,"$89,961,974.54",2018-01-31,178
CTRCentra,CTR,"$89,463,234.42",2018-01-31,179
QBTQbao,QBT,"$87,461,090.76",2018-01-31,180
FUELEtherparty,FUEL,"$86,821,669.97",2018-01-31,181
QRLQuantum Resistant Ledger,QRL,"$86,218,627.93",2018-01-31,182
TNTTierion,TNT,"$86,170,159.27",2018-01-31,183
SPANKSpankChain,SPANK,"$83,930,239.81",2018-01-31,184
UTKUtrust,UTK,"$83,802,144.23",2018-01-31,185
LBCLBRY Credits,LBC,"$81,981,092.21",2018-01-31,186
NGCNAGA,NGC,"$81,813,234.06",2018-01-31,187
ECAElectra,ECA,"$81,338,393.81",2018-01-31,188
EDOEidoo,EDO,"$80,945,428.11",2018-01-31,189
BCCBitConnect,BCC,"$80,328,813.88",2018-01-31,190
MTLMetal,MTL,"$80,324,187.65",2018-01-31,191
ATMATMChain,ATM,"$80,008,554.92",2018-01-31,192
ADTadToken,ADT,"$77,474,659.68",2018-01-31,193
BRDBread,BRD,"$76,981,327.83",2018-01-31,194
VIAViacoin,VIA,"$76,603,462.50",2018-01-31,195
DNTdistrict0x,DNT,"$76,282,113.79",2018-01-31,196
BURSTBurst,BURST,"$75,583,896.29",2018-01-31,197
CDTBlox,CDT,"$75,441,282.26",2018-01-31,198
WINGSWings,WINGS,"$73,997,594.14",2018-01-31,199
CAPPCappasity,CAPP,"$73,714,694.40",2018-01-31,200
BTCBitcoin,BTC,"$175,644,911,465.31",2018-02-28,1
ETHEthereum,ETH,"$83,728,549,711.36",2018-02-28,2
XRPXRP,XRP,"$35,364,476,251.97",2018-02-28,3
BCHBitcoin Cash,BCH,"$20,461,983,718.94",2018-02-28,4
LTCLitecoin,LTC,"$11,245,143,615.44",2018-02-28,5
NEONeo,NEO,"$8,660,683,670.04",2018-02-28,6
ADACardano,ADA,"$8,104,308,933.47",2018-02-28,7
XLMStellar,XLM,"$6,166,782,284.91",2018-02-28,8
EOSEOS,EOS,"$5,875,210,817.42",2018-02-28,9
MIOTAIOTA,MIOTA,"$5,160,293,811.51",2018-02-28,10
DASHDash,DASH,"$4,622,982,566.28",2018-02-28,11
XMRMonero,XMR,"$4,506,564,641.52",2018-02-28,12
XEMNEM,XEM,"$3,616,145,342.19",2018-02-28,13
ETCEthereum Classic,ETC,"$3,375,867,703.28",2018-02-28,14
TRXTRON,TRX,"$2,850,215,980.55",2018-02-28,15
USDTTether,USDT,"$2,214,708,029.37",2018-02-28,16
VENVechain [Token],VEN,"$2,155,497,231.54",2018-02-28,17
QTUMQtum,QTUM,"$1,937,731,156.67",2018-02-28,18
BTGBitcoin Gold,BTG,"$1,907,270,514.60",2018-02-28,19
NANONano,NANO,"$1,904,526,087.19",2018-02-28,20
OMGOmiseGO,OMG,"$1,899,829,594.26",2018-02-28,21
LSKLisk,LSK,"$1,876,766,980.52",2018-02-28,22
ICXICON,ICX,"$1,370,550,408.41",2018-02-28,23
ZECZcash,ZEC,"$1,291,483,907.20",2018-02-28,24
DGDDigixDAO,DGD,"$1,110,873,291.02",2018-02-28,25
BNBBinance Coin,BNB,"$1,033,528,784.34",2018-02-28,26
BCNBytecoin,BCN,"$823,587,735.28",2018-02-28,27
STEEMSteem,STEEM,"$823,581,554.49",2018-02-28,28
XVGVerge,XVG,"$784,612,552.88",2018-02-28,29
STRATStratis,STRAT,"$726,263,332.52",2018-02-28,30
DOGEDogecoin,DOGE,"$682,419,972.75",2018-02-28,31
PPTPopulous,PPT,"$664,278,210.01",2018-02-28,32
MKRMaker,MKR,"$636,047,174.32",2018-02-28,33
SCSiacoin,SC,"$632,446,322.64",2018-02-28,34
