time,open,high,low,close
2019-09-11T08:00:00+08:00,132.21,132.21,132.21,132.21
2019-09-12T08:00:00+08:00,132.33,132.33,132.33,132.33
2019-09-13T08:00:00+08:00,134.63,134.63,134.63,134.63
2019-09-16T08:00:00+08:00,135.05,135.05,135.05,135.05
2019-09-17T08:00:00+08:00,134.86,134.86,134.86,134.86
2019-09-18T08:00:00+08:00,136.32,136.32,136.32,136.32
2019-09-19T08:00:00+08:00,137.71,137.71,137.71,137.71
2019-09-20T08:00:00+08:00,138.37,138.37,138.37,138.37
2019-09-23T08:00:00+08:00,134.43,134.43,134.43,134.43
2019-09-24T08:00:00+08:00,129.42,129.42,129.42,129.42
2019-09-26T08:00:00+08:00,112.23,112.23,112.23,112.23
2019-09-27T08:00:00+08:00,107.93,107.93,107.93,107.93
2019-09-30T08:00:00+08:00,107.94,107.94,107.94,107.94
2019-10-01T08:00:00+08:00,111.17,111.17,111.17,111.17
2019-10-02T08:00:00+08:00,111.25,111.25,111.25,111.25
2019-10-03T08:00:00+08:00,111.25,111.25,111.25,111.25
2019-10-04T08:00:00+08:00,111.25,111.25,111.25,111.25
2019-10-07T08:00:00+08:00,107.68,107.68,107.68,107.68
2019-10-09T08:00:00+08:00,111.79,111.79,111.79,111.79
2019-10-10T08:00:00+08:00,116.61,116.61,116.61,116.61
2019-10-11T08:00:00+08:00,115.83,115.83,115.83,115.83
2019-10-14T08:00:00+08:00,112.61,112.61,112.61,112.61
2019-10-15T08:00:00+08:00,114.16,114.16,114.16,114.16
2019-10-16T08:00:00+08:00,111.64,111.64,111.64,111.64
2019-10-17T08:00:00+08:00,109.33,109.33,109.33,109.33
2019-10-18T08:00:00+08:00,110.76,110.76,110.76,110.76
2019-10-21T08:00:00+08:00,111.51,111.51,111.51,111.51
2019-10-22T08:00:00+08:00,111.94,111.94,111.94,111.94
2019-10-23T08:00:00+08:00,109.87,109.87,109.87,109.87
2019-10-25T08:00:00+08:00,102.75,102.75,102.75,102.75
2019-10-28T08:00:00+08:00,126.65,126.65,126.65,126.65
2019-10-29T08:00:00+08:00,123.71,123.71,123.71,123.71
2019-10-30T08:00:00+08:00,126.53,126.53,126.53,126.53
2019-10-31T08:00:00+08:00,123.65,123.65,123.65,123.65
